dataset,scenario,missing_rate,seed,backbone,base_mae,phyguard_mae,gain_pct,gate_mean,delta_abs_mean,failure_score_mean
PEMS-BAY,random_missing_30,30,1,MagiNet,0.2262549664703495,0.1928683397959455,14.756196160131273,0.6869659927204161,0.0891038391886207,0.0477425020223375
PEMS-BAY,random_missing_30,30,1,SAITS,0.3998869891571113,0.3323380820507874,16.891999224256992,0.714224162299138,0.1214817457532989,0.0477425020223375
PEMS-BAY,random_missing_50,50,1,MagiNet,0.2456501420959685,0.214048990653894,12.864291944813466,0.6912384171327428,0.0937500236784519,0.0717991752826765
PEMS-BAY,random_missing_50,50,1,SAITS,0.4267545606592687,0.3680375879954416,13.758956101867687,0.7054474457075197,0.1154097770790564,0.0717991752826765
PEMS-BAY,random_missing_70,70,1,MagiNet,0.2749731123942233,0.2566057602451497,6.6796902392189885,0.6336179636259919,0.0780889998115225,0.0914934488391075
PEMS-BAY,random_missing_70,70,1,SAITS,0.4412343896912122,0.4002214073178003,9.295055719050795,0.6742487953205981,0.1062563311062411,0.0914934488391075
PEMS-BAY,random_missing_30,30,2,MagiNet,0.2297896501011142,0.2055699375066963,10.539949290040052,0.6776764623901805,0.0591641591256461,0.0471553883210511
PEMS-BAY,random_missing_30,30,2,SAITS,0.4024638127276745,0.3371959875716505,16.2170667503434,0.7318765443362618,0.1097956119087159,0.0471553883210511
PEMS-BAY,random_missing_50,50,2,MagiNet,0.2464738435661059,0.2197803596378486,10.83014876631238,0.6683238579578163,0.0839558445585342,0.0745966026693624
PEMS-BAY,random_missing_50,50,2,SAITS,0.4125611772618971,0.3580886784212294,13.203496073526123,0.6960813696310925,0.1105412110749208,0.0745966026693624
PEMS-BAY,random_missing_70,70,2,MagiNet,0.2833252483465003,0.2631464252895411,7.122140781565993,0.6463175691125694,0.0880414090367971,0.0907586367488509
PEMS-BAY,random_missing_70,70,2,SAITS,0.4259155879141609,0.3894057315842727,8.572087372685308,0.653090290084147,0.0999744387283344,0.0907586367488509
PEMS-BAY,random_missing_30,30,3,MagiNet,0.2263580757809985,0.1963972084920592,13.236049646369349,0.7116849858152698,0.0812454231819736,0.0460059973082965
PEMS-BAY,random_missing_30,30,3,SAITS,0.4025734030441839,0.3375648509178157,16.148248154196434,0.718520451748444,0.1104775625360486,0.0460059973082965
PEMS-BAY,random_missing_50,50,3,MagiNet,0.2439973005344761,0.2154343834765825,11.706243058970951,0.6789733855370441,0.0884364539069522,0.070908713475459
PEMS-BAY,random_missing_50,50,3,SAITS,0.4115516885954353,0.3589788200797701,12.774305141375692,0.6900181469087057,0.1077209770465178,0.070908713475459
PEMS-BAY,random_missing_70,70,3,MagiNet,0.2835525157742448,0.2631145948182784,7.20780801403235,0.6519894721733467,0.0885471413555139,0.0896711968824265
PEMS-BAY,random_missing_70,70,3,SAITS,0.4320417203424204,0.3949603733690188,8.582816248396632,0.6595515051585851,0.100020054767121,0.0896711968824265
METR-LA,random_missing_30,30,1,MagiNet,0.3068381786025765,0.2892378683289026,5.73602357888789,0.6243991710711584,0.0553970182992182,0.0380598272183796
METR-LA,random_missing_30,30,1,SAITS,0.3736589094417241,0.3487864060135759,6.656472734802351,0.6458930687048168,0.0558561826602035,0.0380598272183796
METR-LA,random_missing_50,50,1,MagiNet,0.3608898326852554,0.3374287707068791,6.500893029823172,0.6183193640933232,0.0892015255516565,0.0626894467034964
METR-LA,random_missing_50,50,1,SAITS,0.4592590177668184,0.4304996226131765,6.262129656917055,0.6195562444676277,0.0756748382769031,0.0626894467034964
METR-LA,random_missing_70,70,1,MagiNet,0.4124108160819448,0.3962245240905989,3.9247981285073146,0.5999585080167337,0.0737806943188245,0.080098087230793
