dataset,scenario,seed,backbone,masked_mae_phypro,masked_mae_dora
PEMS03,incident_perturbation,3,BRITS,0.2358451749521414,0.240576112165536
PEMS03,incident_perturbation,3,ImputeFormer,0.1643288468589865,0.1761253613275563
PEMS04,random_missing_50,1,BRITS,0.156411272569801,0.157385711962476
PEMS04,random_missing_50,1,ImputeFormer,0.1468227682163277,0.1494612055130443
PEMS04,sensor_failure_30,1,BRITS,0.4666110052578691,0.456543687461079
PEMS04,sensor_failure_30,1,ImputeFormer,0.6844789256220278,0.6575555663177932
PEMS04,incident_perturbation,1,BRITS,0.1832786273773452,0.1827328383383833
PEMS04,incident_perturbation,1,ImputeFormer,0.1728118921560446,0.1750147748208966
PEMS04,random_missing_50,2,BRITS,0.1580587161303979,0.1599207338854784
PEMS04,random_missing_50,2,ImputeFormer,0.1435645275455122,0.145954567104149
PEMS04,sensor_failure_30,2,BRITS,0.3601881110149881,0.3771410679471665
PEMS04,sensor_failure_30,2,ImputeFormer,0.5423719986625339,0.5886890024378679
PEMS04,incident_perturbation,2,BRITS,0.1846737404741744,0.1867871011060542
PEMS04,incident_perturbation,2,ImputeFormer,0.1676748385901778,0.1725422708509737
PEMS04,random_missing_50,3,BRITS,0.1584311511980566,0.1610481142085643
PEMS04,random_missing_50,3,ImputeFormer,0.1472766967154929,0.1476044148448923
PEMS04,sensor_failure_30,3,BRITS,0.4139550250509511,0.4185202501822209
PEMS04,sensor_failure_30,3,ImputeFormer,0.5995119620060575,0.5884848332059556
PEMS04,incident_perturbation,3,BRITS,0.1833790404123593,0.1859530482219369
PEMS04,incident_perturbation,3,ImputeFormer,0.1693048609812289,0.1705064941223603
PEMS08,random_missing_50,1,BRITS,0.215265424201329,0.2404471445923678
PEMS08,random_missing_50,1,ImputeFormer,0.1262898818163268,0.1408247760294751
PEMS08,sensor_failure_30,1,BRITS,0.403220881044475,0.4100822997249029
PEMS08,sensor_failure_30,1,ImputeFormer,0.6319750617532169,0.5922059701159109
PEMS08,incident_perturbation,1,BRITS,0.2366164196766816,0.2607179749580356
PEMS08,incident_perturbation,1,ImputeFormer,0.1500587477477824,0.1623310325503187
PEMS08,random_missing_50,2,BRITS,0.2168795677923387,0.2382770577164847
PEMS08,random_missing_50,2,ImputeFormer,0.1311976922796823,0.1365031318753449
PEMS08,sensor_failure_30,2,BRITS,0.405318740146612,0.4244677475075316
PEMS08,sensor_failure_30,2,ImputeFormer,0.5980841942082823,0.6133237352558211
PEMS08,incident_perturbation,2,BRITS,0.2331387854259935,0.2505873239480483
PEMS08,incident_perturbation,2,ImputeFormer,0.1480699415427986,0.1494209797678002
PEMS08,random_missing_50,3,BRITS,0.2251846790460142,0.2725844247067494
PEMS08,random_missing_50,3,ImputeFormer,0.1316249477023582,0.1427679138614659
PEMS08,sensor_failure_30,3,BRITS,0.4116951936210682,0.4278439789815665
