backbone,base_test_mae,dataset,delta_abs_mean,failure_score_mean,gate_mean,mae,mape,masked_mae,model,plugin,plugin_gain_pct,plugin_val_mae,rmse,scenario,seed
BRITS,0.512631330163308,PEMS03,0.1241644862284912,0.8275362294039622,1.0,0.2186893075704574,0.4325630962848663,0.5107042544356016,BRITS+DoRAAdapter,DoRAAdapter,0.3759184455410548,0.4042236804962158,0.4287891089916229,sensor_failure_30,3
ImputeFormer,0.8497805966766453,PEMS03,0.1802808696235823,0.8275362294039622,1.0,0.3424548804759979,0.6524065136909485,0.811606148693049,ImputeFormer+DoRAAdapter,DoRAAdapter,4.492271079486913,0.6093840599060059,0.5993844270706177,sensor_failure_30,3
SAITS,0.2800088392753159,PEMS03,0.0680680425736439,0.0860253439947519,1.0,0.1950231343507766,0.554806113243103,0.2428274717215978,SAITS+DoRAAdapter,DoRAAdapter,13.278640649326013,0.2037559747695922,0.3244203627109527,incident_perturbation,3
MagiNet,0.177444215438115,PEMS03,0.051808156818889,0.0860253439947519,1.0,0.1481708586215973,0.4439237117767334,0.161939828555363,MagiNet+DoRAAdapter,DoRAAdapter,8.737611899306605,0.1490320563316345,0.2317308783531189,incident_perturbation,3
BRITS,0.2864308480245152,PEMS03,0.0837714894360879,0.0860253439947519,1.0,0.1863865405321121,0.5251555442810059,0.240576112165536,BRITS+DoRAAdapter,DoRAAdapter,16.009007470820524,0.1878483146429062,0.3133571147918701,incident_perturbation,3
ImputeFormer,0.1800601297048783,PEMS03,0.0130717602341452,0.0860253439947519,1.0,0.1192924901843071,0.309943825006485,0.1761253613275563,ImputeFormer+DoRAAdapter,DoRAAdapter,2.185252439710618,0.1675211638212204,0.2391997128725052,incident_perturbation,3
SAITS,0.1895981148411822,PEMS04,0.0732585621742116,0.0782645901272767,1.0,0.1311889141798019,0.6976677775382996,0.1625344478342834,SAITS+DoRAAdapter,DoRAAdapter,14.274227900192368,0.1363501697778701,0.1959900110960006,random_missing_50,1
MagiNet,0.1585416352379913,PEMS04,0.0586120262762449,0.0782645901272767,1.0,0.1372701674699783,0.7767457962036133,0.1454457241487777,MagiNet+DoRAAdapter,DoRAAdapter,8.260234650383747,0.1331358551979065,0.1833263486623764,random_missing_50,1
BRITS,0.1863420372040622,PEMS04,0.0766480946599604,0.0782645901272767,1.0,0.1241333335638046,0.6420497894287109,0.157385711962476,BRITS+DoRAAdapter,DoRAAdapter,15.539341351021235,0.1302608400583267,0.1880494207143783,random_missing_50,1
ImputeFormer,0.1716326146999537,PEMS04,0.0721581573193774,0.0782645901272767,1.0,0.1170336529612541,0.6146707534790039,0.1494612055130443,ImputeFormer+DoRAAdapter,DoRAAdapter,12.917946408769229,0.1348154246807098,0.1742598265409469,random_missing_50,1
SAITS,0.4828044504359148,PEMS04,0.0821683372276416,0.7285505101300668,1.0,0.1890381574630737,0.6337109804153442,0.456027348836263,SAITS+DoRAAdapter,DoRAAdapter,5.546158817607278,0.3407864868640899,0.4200841784477234,sensor_failure_30,1
