backbone,base_test_mae,dataset,delta_abs_mean,failure_score_mean,fixed_harm_coef,gate_mean,harm_mode,mae,mape,masked_mae,model,plugin,plugin_gain_pct,plugin_val_mae,rmse,scenario,seed
SAITS,0.5549961458485446,PEMS03,0.0890251409227603,0.773468017578125,,0.6651786257544782,,0.2035844773054123,0.349644660949707,0.5492992935893691,SAITS+CalibrationGuard,CalibrationGuard,1.026466994732992,0.3963801264762878,0.485809177160263,sensor_failure_30,1
SAITS,0.5549961458485446,PEMS03,0.0822977202703648,0.773468017578125,,0.7470602825794636,,0.1968298405408859,0.3405219614505768,0.5453410401151187,SAITS+FailureAnomalyGuard,FailureAnomalyGuard,1.7396707717067097,0.3929924070835113,0.4789794087409973,sensor_failure_30,1
SAITS,0.5549961458485446,PEMS03,0.086357152350595,0.773468017578125,1.0,0.7511371362989194,failure_aware_soft,0.2054563015699386,0.378061830997467,0.5456577669422946,SAITS+PhyGuard,PhyGuard,1.682602478612237,0.3943294584751129,0.4781279265880584,sensor_failure_30,1
MagiNet,0.7049558170116579,PEMS03,,0.773468017578125,,,,0.2106990814208984,0.6907019019126892,0.7049558170116579,MagiNet,Backbone,0.0,,0.5058457851409912,sensor_failure_30,1
MagiNet,0.7049558170116579,PEMS03,0.0308095688389097,0.773468017578125,,1.0,,0.2289291322231292,0.730878472328186,0.7065877468786507,MagiNet+GenericAdapter,GenericAdapter,-0.2314939216915207,0.5381306409835815,0.50761479139328,sensor_failure_30,1
MagiNet,0.7049558170116579,PEMS03,0.0431800854168948,0.773468017578125,,0.5757460549613026,,0.2247789949178695,0.7184429168701172,0.7062010007483936,MagiNet+CalibrationGuard,CalibrationGuard,-0.1766328763714811,0.5383275151252747,0.5071399211883545,sensor_failure_30,1
MagiNet,0.7049558170116579,PEMS03,0.0470569378861757,0.773468017578125,,0.5424462434287384,,0.2232758998870849,0.7396243214607239,0.7051324101623345,MagiNet+FailureAnomalyGuard,FailureAnomalyGuard,-0.0250502437763018,0.5374674201011658,0.5061444640159607,sensor_failure_30,1
MagiNet,0.7049558170116579,PEMS03,0.060550398544359,0.773468017578125,1.0,0.6182038969711351,failure_aware_soft,0.2358769476413726,0.7582234740257263,0.7064536977037091,MagiNet+PhyGuard,PhyGuard,-0.2124786626204243,0.5387278199195862,0.5091168284416199,sensor_failure_30,1
SAITS,0.2811805014214967,PEMS03,,0.0856741792002934,,,,0.1650968641042709,0.397429496049881,0.2811805014214967,SAITS,Backbone,0.0,,0.343157559633255,incident_perturbation,1
SAITS,0.2811805014214967,PEMS03,0.0840106984822083,0.0856741792002934,,1.0,,0.1817066967487335,0.4602639377117157,0.2354659843864636,SAITS+GenericAdapter,GenericAdapter,16.25806796841357,0.1977694779634475,0.3168640732765198,incident_perturbation,1
SAITS,0.2811805014214967,PEMS03,0.1046858520955612,0.0856741792002934,,0.6171183739911958,,0.1767597496509552,0.4380533099174499,0.2464161087674247,SAITS+CalibrationGuard,CalibrationGuard,12.36372809576835,0.2059771716594696,0.3229725658893585,incident_perturbation,1
SAITS,0.2811805014214967,PEMS03,0.1054094254402054,0.0856741792002934,,0.6158645909757887,,0.1768706291913986,0.4367648065090179,0.2465170751559061,SAITS+FailureAnomalyGuard,FailureAnomalyGuard,12.327820062326886,0.2059508264064788,0.3238303661346435,incident_perturbation,1
SAITS,0.2811805014214967,PEMS03,0.0980352536913059,0.0856741792002934,1.0,0.6181141668195158,failure_aware_soft,0.1768351048231125,0.438237577676773,0.2469959991746148,SAITS+PhyGuard,PhyGuard,12.157493878154249,0.206537976861,0.3226622641086578,incident_perturbation,1
MagiNet,0.1686655699743213,PEMS03,,0.0856741792002934,,,,0.1093190163373947,0.3083338439464569,0.1686655699743213,MagiNet,Backbone,0.0,,0.2285849303007125,incident_perturbation,1
MagiNet,0.1686655699743213,PEMS03,0.0529374111564563,0.0856741792002934,,1.0,,0.1245226711034774,0.3582345247268677,0.1528574089783565,MagiNet+GenericAdapter,GenericAdapter,9.372488409087596,0.145387053489685,0.2152159661054611,incident_perturbation,1
MagiNet,0.1686655699743213,PEMS03,0.0824503264283749,0.0856741792002934,,0.5714218979273661,,0.121189534664154,0.3476983308792114,0.1540226350421863,MagiNet+CalibrationGuard,CalibrationGuard,8.681638424702998,0.1466297060251236,0.2171104848384857,incident_perturbation,1
MagiNet,0.1686655699743213,PEMS03,0.0830285904255319,0.0856741792002934,,0.57123790581438,,0.1227310746908187,0.3498023748397827,0.1541157917965884,MagiNet+FailureAnomalyGuard,FailureAnomalyGuard,8.62640678826633,0.1465851813554763,0.2180143296718597,incident_perturbation,1
MagiNet,0.1686655699743213,PEMS03,0.0709997907877843,0.0856741792002934,1.0,0.5813000962949376,failure_aware_soft,0.1205585673451423,0.3450403213500976,0.1551701640453044,MagiNet+PhyGuard,PhyGuard,8.001280837026489,0.1478366553783416,0.2171106338500976,incident_perturbation,1
SAITS,0.1845267470063852,PEMS04,,0.0782645901272767,,,,0.0914369076490402,0.4653134047985077,0.1845267470063852,SAITS,Backbone,0.0,,0.1951775252819061,random_missing_50,1
SAITS,0.1845267470063852,PEMS04,0.0691951311832909,0.0782645901272767,,1.0,,0.1247306689620018,0.6272667646408081,0.1582843380345282,SAITS+GenericAdapter,GenericAdapter,14.221466208879171,0.1341308951377868,0.1906886398792266,random_missing_50,1
SAITS,0.1845267470063852,PEMS04,0.088565438781755,0.0782645901272767,,0.6200476431970693,,0.1146589219570159,0.5797964930534363,0.162503754723663,SAITS+CalibrationGuard,CalibrationGuard,11.934850985022852,0.1383849680423736,0.1867323368787765,random_missing_50,1
SAITS,0.1845267470063852,PEMS04,0.0889226390511589,0.0782645901272767,,0.6210769657499657,,0.114747054874897,0.5787124633789062,0.1624903473844922,SAITS+FailureAnomalyGuard,FailureAnomalyGuard,11.942116782197685,0.1383252739906311,0.1869879215955734,random_missing_50,1
SAITS,0.1845267470063852,PEMS04,0.0788314012722327,0.0782645901272767,1.0,0.6205624716473227,failure_aware_soft,0.1135130375623703,0.5805119872093201,0.1636543284374144,SAITS+PhyGuard,PhyGuard,11.31132418881724,0.1396387815475464,0.1865494549274444,random_missing_50,1
MagiNet,0.1585416352379913,PEMS04,,0.0782645901272767,,,,0.0785607397556305,0.3954370319843292,0.1585416352379913,MagiNet,Backbone,0.0,,0.1641486138105392,random_missing_50,1
MagiNet,0.1585416352379913,PEMS04,0.0569552878946906,0.0782645901272767,,1.0,,0.1097695678472518,0.5590253472328186,0.1448452024060189,MagiNet+GenericAdapter,GenericAdapter,8.639013222875061,0.1325955092906952,0.1684133857488632,random_missing_50,1
